rank,query,title,url
1,디지털 마케팅,"경산시,",https://daily.hankooki.com/news/articleView.html?idxno=1336344
2,디지털 마케팅,"신한라이프, CX 재설계 가속…천상영 체제",https://www.bloter.net/news/articleView.html?idxno=654284
3,디지털 마케팅,"ETF 크림빵 나왔다…한투운용, 이색",https://www.dailian.co.kr/news/view/1610648/?sc=Naver
4,디지털 마케팅,"농협금융, AI 전환·",http://www.enewstoday.co.kr/news/articleView.html?idxno=2395010
5,디지털 마케팅,"전남 곡성군, ‘숏폼’으로 장미축제 띄운다~",https://www.wikitree.co.kr/articles/1117966
6,디지털 마케팅,"여경협,",https://www.hankyung.com/article/202602118280i
7,디지털 마케팅,[올림픽] 사진·침대부터 한식까지…밀라노 수놓는 '팀코리아,https://www.yna.co.kr/view/AKR20260212068800007?input=1195m
8,디지털 마케팅,"삼성증권, 유튜브 연계 ISA 이벤트…콘텐츠 기반",https://www.todayeconomic.com/news/article.html?no=29648
9,디지털 마케팅,K팝을 만국의 오페라로…,https://zdnet.co.kr/view/?no=20260211095822
10,디지털 마케팅,"“AI 시대,",https://www.mk.co.kr/article/11961235
